Title,TMDb_id,IMDb_id,Release Date,Synopsis Short,Synopsis Long,Language,Status,Budget,RT Rating,Metascore,IMDb Rating,IMDb Votes,DVD Date,Box Office,Genre IDs
Molly's Game,396371,tt4209788,2017-12-21,"The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target.","Molly Bloom, a young skier and former Olympic hopeful becomes a successful entrepreneur (and a target of an FBI investigation) when she establishes a high-stakes, international poker game.",en,Released,30000000,82%,71,7.5,"70,546",10 Apr 2018,"$28,744,803","[80, 18]"
Wonder,406997,tt2543472,2017-11-13,"Based on the New York Times bestseller, WONDER tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters 5th grade, attending a mainstream elementary school for the first time.","The story of August Pullman – a boy with facial differences – who enters fifth grade, attending a mainstream elementary school for the first time.",en,Released,20000000,85%,66,8.0,"78,743",13 Feb 2018,"$132,090,170","[18, 10751]"
Downsizing,301337,tt1389072,2017-12-22,"A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor.",A kindly occupational therapist undergoes a new procedure to be shrunken to four inches tall so that he and his wife can help save the planet and afford a nice lifestyle at the same time.,en,Released,68000000,51%,63,5.7,"49,405",20 Mar 2018,"$22,932,429","[35, 18, 878]"
You Were Never Really Here,398181,tt5742374,2017-11-08,,"A traumatised veteran, unafraid of violence, tracks down missing girls for a living. When a job spins out of control, Joe's nightmares overtake him as a conspiracy is uncovered leading to what may be his death trip or his awakening.",en,Released,0,,,,,,,"[18, 53, 80]"
Ferdinand,364689,tt3411444,2017-12-09,"After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure.","Ferdinand, a little bull, prefers sitting quietly under a cork tree just smelling the flowers versus jumping around, snorting, and butting heads with other bulls. As Ferdinand grows big and strong, his temperament remains mellow, but one day five men come to choose the ""biggest, fastest, roughest bull"" for the bullfights in Madrid and Ferdinand is mistakenly chosen.  Based on the classic 1936 children's book by Munro Leaf.",en,Released,111000000,71%,58,6.7,"28,045",13 Mar 2018,"$70,466,891","[16, 10751, 12, 35]"
Darkest Hour,399404,tt4555426,2017-11-22,"In May 1940, the fate of Western Europe hangs on British Prime Minister Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean a humiliating defeat for Britain and its empire.","A thrilling and inspiring true story begins on the eve of World War II as, within days of becoming Prime Minister of Great Britain, Winston Churchill must face one of his most turbulent and defining trials: exploring a negotiated peace treaty with Nazi Germany, or standing firm to fight for the ideals, liberty and freedom of a nation. As the unstoppable Nazi forces roll across Western Europe and the threat of invasion is imminent, and with an unprepared public, a skeptical King, and his own party plotting against him, Churchill must withstand his darkest hour, rally a nation, and attempt to change the course of world history.",en,Released,30000000,85%,75,7.4,"101,746",27 Feb 2018,"$28,086,332","[18, 36]"
The Endless,430231,tt3986820,2017-11-10,Two brothers return to the cult they fled from years ago to discover that the group's beliefs may be more sane than they once thought.,Two brothers return to the cult they fled from years ago to discover that the group's beliefs may be more sane than they once thought.,en,Released,0,96%,80,6.6,"3,231",26 Jun 2018,N/A,"[878, 27, 53]"
Wonder Wheel,429189,tt5825380,2017-12-01,"On Coney Island in the 1950s, a lifeguard tells the story of a middle-aged carousel operator, his beleaguered wife, and the visitor who turns their lives upside-down.","The story of four characters whose lives intertwine amid the hustle and bustle of the Coney Island amusement park in the 1950s: Ginny, an emotionally volatile former actress now working as a waitress in a clam house; Humpty, Ginny’s rough-hewn carousel operator husband; Mickey, a handsome young lifeguard who dreams of becoming a playwright; and Carolina, Humpty’s long-estranged daughter, who is now hiding out from gangsters at her father’s apartment.",en,Released,25000000,30%,45,6.2,"13,990",06 Mar 2018,N/A,[18]
Hostiles,384680,tt5478478,2017-12-22,"In 1892, a legendary Army captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory.",A legendary Native American-hating Army captain nearing retirement in 1892 is given one last assignment: to escort a Cheyenne chief and his family through dangerous territory back to his Montana reservation.,en,Released,55000000,73%,65,7.2,"29,572",24 Apr 2018,"$29,472,340","[18, 37, 36]"
Bright,400106,tt5519340,2017-12-22,Set in a world where fantasy creatures live side by side with humans. A human cop is forced to work with an Orc to find a weapon everyone is prepared to kill for.,"In an alternate present-day where magical creatures live among us, two L.A. cops become embroiled in a prophesied turf battle.",en,Released,90000000,26%,29,6.4,"129,333",22 Dec 2017,N/A,"[28, 80, 14]"
Paddington 2,346648,tt4468740,2017-11-09,"Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen.","Paddington, now happily settled with the Browns, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy, but it is stolen.",en,Released,40000000,,88,7.9,"29,049",N/A,N/A,"[12, 35, 10751, 16]"
Daddy's Home 2,419680,tt5657846,2017-11-09,"Having finally gotten used to each other's existence, Brad and Dusty must now deal with their intrusive fathers during the holidays.",Brad and Dusty must deal with their intrusive fathers during the holidays.,en,Released,69000000,19%,30,6.0,"32,838",20 Feb 2018,"$102,934,995",[35]
Gnome Alone,466876,tt5851786,2017-11-02,"When Chloe discovers that her new home's garden gnomes are not what they seem, she must decide between the pursuit of a desired high school life and taking up the fight against the Troggs.","When Chloe discovers that her new home's garden gnomes are not what they seem, she must decide between the pursuit of a desired high school life and taking up the fight against the Troggs.",en,Released,0,,N/A,5.7,323,N/A,N/A,"[12, 10751, 16, 35, 878, 14]"
Sweet Virginia,413992,tt2582498,2017-11-17,A former rodeo champ befriends a young man with a propensity for violence.,A former rodeo champ befriends a young man with a propensity for violence.,en,Released,0,78%,72,6.1,"3,499",03 Apr 2018,"$5,183","[18, 53]"
A Bad Moms Christmas,431530,tt6359956,2017-11-01,"As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas.","Amy, Kiki and Carla – three under-appreciated and over-burdened women – rebel against the challenges and expectations of the Super Bowl for mothers: Christmas. And if creating a more perfect holiday for their families wasn’t hard enough, they have to do all of that while hosting and entertaining their own mothers.",en,Released,28000000,29%,42,5.5,"23,626",06 Feb 2018,"$72,080,547",[35]
F*&% the Prom,487702,tt5612742,2017-12-05,"Maddy and Cole were inseparable friends until high school started and Maddy became the most popular girl on campus. When she starts feeling lonely and heartbroken, she reconnects with Cole ...","Maddy and Cole were inseparable friends until high school started and Maddy became the most popular girl on campus. When she starts feeling lonely and heartbroken, she reconnects with Cole and the duo conspire to destroy the ultimate teen popularity contest",en,Released,0,,N/A,4.3,"2,523",N/A,N/A,[35]
"Roman J. Israel, Esq.",413362,tt6000478,2017-11-10,"Roman J. Israel, Esq., a driven, idealistic defense attorney, finds himself in a tumultuous series of events that lead to a crisis and the necessity for extreme action.","Hard-nosed liberal lawyer Roman J. Israel has been fighting the good fight forever while others take the credit. When his partner – the firm’s frontman – has a heart attack, Israel suddenly takes on that role. He soon discovers some unsettling truths about the firm – truths that conflict with his values of helping the poor and dispossessed – and finds himself in an existential crisis that leads to extreme actions.",en,Released,22000000,52%,58,6.4,"15,929",13 Feb 2018,"$11,887,893","[80, 18, 53]"
Kings,408873,tt5843850,2017-11-11,"The life of a foster family in South Central Los Angeles, a few weeks before the city erupts in violence following the verdict of the Rodney King trial.",A foster family in South Central a few weeks before the city erupts in violence following the verdict of the Rodney King trial in 1992.,en,Released,0,,34,4.7,630,N/A,N/A,"[10749, 18, 80]"
Bullet Head,480572,tt6204340,2017-12-07,Three career criminals find themselves trapped in a warehouse with the law closing in and an even worse threat waiting inside - a nigh unstoppable killer dog.,A group of career criminals finds itself trapped in a warehouse with the law – and an Attack Dog named DeNiro closing in.,en,Released,0,56%,51,5.3,"4,173",09 Jan 2018,N/A,"[18, 80, 53]"
The Bookshop,444539,tt3127022,2017-11-10,"Set in a small town in 1959 England, it is the story of a woman who decides, against polite but ruthless local opposition, to open a bookshop, a decision which becomes a political minefield.","Set in an small English town in 1959, the story of a woman who decides, against polite but ruthless local opposition, to open a bookshop, a decision which becomes a political minefield.",en,Released,3582070,52%,N/A,6.5,"2,144",N/A,N/A,"[10749, 18]"
Slumber,463602,tt5181852,2017-12-01,A sleep doctor tries to protect a family from a demon that feeds on people in their nightmares.,A sleep doctor tries to protect a family from a demon that feeds on people in their nightmares.,en,Released,0,0%,N/A,4.7,"2,168",02 Jan 2018,N/A,[27]
Christmas Inheritance,449755,tt7608534,2017-12-15,"Before ambitious heiress Ellen Langford can inherit her father's gift business, she must deliver a special Christmas card to her dad's former partner in Snow Falls, the hometown she never ...","To inherit her father's company, socialite Ellen must first visit his small hometown, where she learns the value of hard work and helping others.",en,Released,10000000,60%,N/A,5.6,"3,921",15 Dec 2017,N/A,[10749]
Finding Your Feet,426030,tt4538916,2017-12-26,"On the eve of retirement a middle class, judgmental snob discovers her husband has been having an affair with her best friend and is forced into exile with her bohemian sister who lives on an impoverished inner-city council estate.",A lady has her prim and proper life turned upside down after discovering her husband's affair.,en,Released,7154497,,53,6.7,"1,713",N/A,N/A,"[35, 18, 10749]"
The Star,355547,tt4587656,2017-11-15,A small but brave donkey and his animal friends become the unsung heroes of the first Christmas.,"A small but brave donkey and his animal friends become the unsung heroes of the greatest story ever told, the first Christmas.",en,Released,10000000,45%,42,5.9,"3,271",20 Feb 2018,"$40,448,404","[35, 12, 10751, 14, 16]"
El Camino Christmas,485504,tt3255590,2017-12-08,"The project, scripted by Melfi and writer Chris Wehner, is about a young man (Grimes) who seeks out a father he has never met and, through no fault of his own, ends up barricaded in a ...","A young man seeking a father he has never met, through no fault of his own, ends up barricaded in a liquor store with five other people on Christmas Eve in the fictitious town of El Camino, NV.",en,Released,0,,N/A,5.6,"4,699",08 Dec 2017,N/A,[35]
The Breadwinner,435129,tt3901826,2017-11-17,"In 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family.",A headstrong young girl in Afghanistan disguises herself as a boy in order to provide for her family.,en,Released,0,94%,78,7.7,"8,460",06 Mar 2018,"$228,056","[16, 18, 10752]"
Father Figures,354861,tt1966359,2017-12-21,"Upon learning that their mother has been lying to them for years about their allegedly deceased father, two fraternal twin brothers hit the road in order to find him.","Upon learning that their mother has been lying to them for years about their allegedly deceased father, two fraternal twin brothers hit the road in order to find him.",en,Released,25000000,19%,22,5.3,"7,843",03 Apr 2018,"$16,772,934",[35]
Mudbound,414425,tt2396589,2017-11-17,"Two men return home from World War II to work on a farm in rural Mississippi, where they struggle to deal with racism and adjusting to life after war.","In the post–World War II South, two families are pitted against a barbaric social hierarchy and an unrelenting landscape as they simultaneously fight the battle at home and the battle abroad.",en,Released,10000000,96%,85,7.5,"25,550",17 Nov 2017,N/A,[18]
November Criminals,317091,tt3266284,2017-12-08,"After his friend is murdered, a Washington, D.C. teenager undertakes his own investigation of the crime.","Addison Schacht investigates the murder of his friend Kevin, with the help of Phoebe, and they discover the truth is darker than they ever imagined.",en,Released,0,0%,31,5.2,"4,872",09 Jan 2018,N/A,"[80, 18, 9648, 53]"
My Friend Dahmer,445040,tt2291540,2017-11-03,A young Jeffrey Dahmer struggles to belong in high school.,"Jeffrey Dahmer struggles with a difficult family life as a young boy. During his teenage years he slowly transforms, edging closer to the serial killer he becomes.",en,Released,0,88%,68,6.4,"6,053",05 Mar 2018,"$1,306,946","[18, 27]"
Film Stars Don't Die in Liverpool,398174,tt5711148,2017-11-17,A romance sparks between a young actor and a Hollywood leading lady.,"Liverpool, 1978: What starts as a vibrant affair between a legendary femme-fatale, the eccentric Academy Award-winning actress Gloria Grahame (Bening), and her young lover, British actor Peter Turner (Bell), quickly grows into a deeper relationship, with Turner being the person Gloria turns to for comfort. Their passion and lust for life is tested to the limits by events beyond their control.",en,Released,10000000,80%,65,6.8,"3,791",24 Apr 2018,N/A,"[10749, 18]"
Newness,434203,tt6408226,2017-11-03,,"In contemporary Los Angeles, two millennials navigating a social media–driven hookup culture begin a relationship that pushes both emotional and physical boundaries.",en,Released,10000000,,,,,,,"[10749, 18]"
Singularity,484886,tt7312940,2017-11-24,"In 2020, Elias van Dorne (John Cusack), CEO of VA Industries, the world's largest robotics company, introduces his most powerful invention--Kronos, a super computer designed to end all wars...","In 2020, Elias van Dorne, CEO of VA Industries, the world's largest robotics company, introduces his most powerful invention--Kronos, a super computer designed to end all wars. When Kronos goes online, it quickly determines that mankind, itself, is the biggest threat to world peace and launches a worldwide robot attack to rid the world of the ""infection"" of man. Ninety-seven years later, a small band of humans remain alive but on the run from the robot army. A teenage boy, Andrew and a teenage girl, Calia, form an unlikely alliance to reach a new world, where it is rumored mankind exists without fear of robot persecution. But does this world actually exist? And will they live long enough to find out?",en,Released,0,,N/A,4.2,"11,289",N/A,N/A,[878]
Christmas Wedding Planner,488113,tt7074092,2017-12-14,"Wedding Planner, Kelsey Wilson, is about to have her big break: planning her beloved cousin's lavish and exclusive wedding. Everything is going smoothly until Connor McClane, a devilishly ...","Wedding Planner, Kelsey Wilson, is about to have her big break: planning her beloved cousin's lavish and exclusive wedding. Everything is going smoothly until Connor McClane, a devilishly handsome private investigator, shows up and turns Kelsey's world upside-down. Hired by a secret source, Connor quickly disrupts the upcoming nuptials but wins Kelsey's heart in the process.",en,Released,0,,N/A,6.6,31,N/A,N/A,[]
Just Getting Started,398177,tt5721088,2017-12-01,"A two-hander action comedy in the vein of Midnight Run (1988), about an ex-F.B.I. Agent (Tommy Lee Jones) and an ex-mob lawyer in the Witness Protection Program (Morgan Freeman) having to put aside their petty rivalry on the golf course to fend off a mob hit.","Duke Diver is living the high life as the freewheeling manager of a luxurious resort in Palm Springs, Calif. He soon faces competition from Leo, a former military man who likes the same woman that Duke is interested in. When Diver's past suddenly catches up with him, he must put aside his differences and reluctantly team up with Leo to stop whoever is trying to kill him.",en,Released,22000000,5%,21,4.1,"2,911",27 Feb 2018,N/A,"[28, 35]"
Skybound,472921,tt2560792,2017-11-07,Five plane passengers are unable to land after a mysterious disaster happened on the ground.,"Five friends on a small airplane mysteriously lose their radio connection on a trip from New York to LA. As they continue their flight, they're forced to assume that a major disaster happened on the ground. They discover a stowaway, Erik, who urges them not to land at any cost. Before they run out of fuel, they must find out the truth.",en,Released,6000000,,N/A,5.2,"1,382",07 Nov 2017,N/A,"[28, 53]"
Permanent,450438,tt5933560,2017-12-15,"Permanent is a comedy about bad hair, adolescence, and socially awkward family members. It involves life-altering permanents and poorly-made toupees. Obstacles to daily survival ensue.","This comedy, set in 1983 in small town Virginia, centers around a 13 year old and her family. The story of a hairstyle gone incredibly wrong and a young girl's plight to fit in while encountering bullies at a new school.",en,Released,0,38%,41,5.4,619,03 Apr 2018,"$12,777",[35]
Tarnation,487660,tt5569344,2017-11-24,"When Oscar is fired, and her boyfriend walks out (taking the cat), she heads to a remote cabin in the woods outside a ghost town called TARNATION. Here she plans to reflect on her life ...","When wannabe-singer Oscar is fired from her band and her boyfriend walks out, she heads to a remote cabin in the woods outside a ghost town called Tarnation to reflect on her life choices. But the woods are home to a demon unicorn, whose satanic master seeks Oscar's blood to complete a ritual that will raise Satan himself from Hell. Oscar must battle with a ungodly force of evil, capable of possessing any soul, to not only save her own life but to stop TARNATION descending upon the world.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[35, 27]"
Rise of the Footsoldier 3,484889,tt6076226,2017-11-03,"Notorious gangster, Pat Tate, rises through the ranks of Essex's criminal underworld. A prequel to the 'Rise of the Footsoldier' franchise.","Notorious gangster, Pat Tate, rises through the ranks of Essex's criminal underworld. A prequel to the 'Rise of the Footsoldier' franchise.",en,Released,0,,N/A,5.7,703,N/A,N/A,"[28, 80, 18, 53]"
Hey Arnold! The Jungle Movie,439058,tt5257726,2017-11-23,"Picking up where Hey Arnold! (1996) left off, this tells the story of what happened to Arnold's parents.","An upcoming two-hour American animated television film split into two parts. Based on Craig Bartlett's Hey Arnold! TV series, it will serve as a sequel to the series finale in which Arnold found his father's journal and read about the life of his scientist parents, including their first meeting, birthing him, and a map showing the route they took to the San Lorenzo before they disappeared.",en,Released,0,,N/A,7.9,"1,367",N/A,N/A,"[35, 16, 12]"
A Christmas Prince,483104,tt7608418,2017-11-17,"When a reporter goes undercover as a tutor to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?","When a reporter goes undercover as a nanny to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?",en,Released,0,83%,N/A,5.6,"7,212",17 Nov 2017,N/A,[10749]
Almost Friends,436459,tt4955566,2017-11-17,Charlie is an unmotivated man in his mid 20s still living at home with his mother and stepfather who falls for a young woman who has a serious boyfriend.,"A man in his mid-20s and still living at home with his mother and stepfather who puts all his eggs in one basket: the girl who works at his local coffee shop. The problem is, she has a serious boyfriend. As the become closer, the line between friendship and intimacy is blurred, and the situation forces both to examine where they are in their lives.",en,Released,0,,N/A,6.1,"2,343",N/A,N/A,"[18, 35]"
Batman vs. Two-Face,464882,tt6142314,2017-11-14,"Gotham City District Attorney Harvey Dent is mutilated in a laboratory accident. When the duplicitous Two-Face embarks on a crime spree, Batman and Robin must solve the mystery of his identity while facing off against several other foes.","Former Gotham City District Attorney Harvey Dent, one side of his face scarred by acid, goes on a crime spree based on the number '2'. All of his actions are decided by the flip of a defaced, two-headed silver dollar.",en,Released,0,100%,N/A,6.1,"1,643",17 Oct 2017,N/A,"[28, 16]"
Pottersville,413990,tt3672120,2017-11-10,Maynard is a beloved local businessman who is mistaken for the legendary Bigfoot during an inebriated romp through town in a makeshift gorilla costume. The sightings set off an ...,"Maynard, a beloved local businessman is mistaken for the legendary Bigfoot during an inebriated romp through town in a makeshift gorilla costume. The sightings set off an international Bigfoot media spectacle and a windfall of tourism dollars for a simple American town hit by hard times. When Brock Masterson, reality TV’s “Monster Hunter,” arrives to hunt the beast, Maynard agonizes over whether to come clean, destroying the rebirth of his beloved town, or perpetuate the inadvertent hoax.",en,Released,10000000,,N/A,5.2,"1,878",N/A,N/A,[35]
The Pirates of Somalia,394537,tt5126922,2017-12-08,"In 2008, rookie journalist Jay Bahadur forms a half-baked plan to embed himself among the pirates of Somalia. He ultimately succeeds in providing the first close-up look into who these men ...","After an inspiring chance encounter with his idol, rookie journalist Jay Bahadur uproots his life and moves to Somalia looking for the story of a lifetime. Hooking up with a local fixer, he attempts to get embedded with the local Somali pirates, only to quickly find himself in over his head.",en,Released,0,67%,54,6.8,"4,901",N/A,N/A,[18]
LBJ,353575,tt4778988,2017-11-03,"Lyndon Baines Johnson aligns himself with Jack Kennedy, rises to the presidency, and deals with the civil rights struggles of the 1960s.",The story of U.S. President Lyndon Baines Johnson from his young days in West Texas to the White House.,en,Released,0,55%,54,6.4,"2,705",06 Feb 2018,"$2,359,952",[18]
The Broken Key,477278,tt4656810,2017-11-16,"In a near future, due to the effects of an uncompromising law on the eco-sustainability of supports, paper has become a rare item, a luxury possession, controlled by the ""Big Z"": Zimurgh Corporation.","In a near future, due to the effects of an uncompromising law on the eco-sustainability of supports, paper has become a rare item, a luxury possession, controlled by the ""Big Z"": Zimurgh Corporation.",en,Released,0,,N/A,4.2,69,N/A,N/A,"[878, 53, 36]"
Most Beautiful Island,438436,tt4866448,2017-11-03,Most Beautiful Island is a chilling portrait of an undocumented young woman's struggle for survival as she finds redemption from a tortured past in a dangerous game.,Most Beautiful Island is a chilling portrait of an undocumented young woman's struggle for survival as she finds redemption from a tortured past in a dangerous game.,en,Released,0,94%,73,5.6,"1,847",02 Nov 2017,N/A,"[18, 53]"
The Tribes of Palos Verdes,324562,tt1507571,2017-12-01,"When the situation at her idyllic Palos Verdes home turns volatile, young Medina attempts to surf her way to happiness.","When the situation at her idyllic Palos Verdes home turns volatile, young Medina attempts to surf her way to happiness.",en,Released,0,67%,49,5.5,577,10 Apr 2018,N/A,[18]
Hollow in the Land,352491,tt4864624,2017-12-08,A woman with a troubled past sets out to find her missing brother.,"With their father in prison for murder, siblings Alison and Brandon are instantly considered suspects when a string of killings plagues their town, and they must fight to clear their names.",en,Released,0,62%,58,5.6,849,N/A,N/A,"[9648, 18, 53]"
The Ballad of Lefty Brown,438457,tt4400994,2017-12-15,"A thrilling and action-packed Western, The Ballad of Lefty Brown is a story about loyalty, friendship, and the relentless pursuit of justice.","Aging sidekick Lefty Brown has ridden with Eddie Johnson his entire life. But when a rustler kills Eddie, Lefty is forced from his partner’s shadow and must confront the ugly realities of frontier justice.",en,Released,0,78%,64,6.2,"2,263",13 Feb 2018,N/A,[37]
I Believe,499338,tt4294970,2017-11-07,A 9 year old boy experiences God's power in a supernatural way.,A 9 year old boy experiences God's power in a supernatural way.,en,Released,0,,N/A,8.8,31,N/A,N/A,[10751]
Princess Cyd,454889,tt6053440,2017-11-03,"Eager to escape life with her depressive single father, 16-year-old athlete Cyd Loughlin visits her novelist aunt in Chicago over the summer. While there, she falls for a girl in the ...","High school athlete Cyd Loughlin lives alone with her depressive father in South Carolina, perpetually longing to get away from it all. When her aunt, famous novelist Miranda Ruth, agrees to host her for a few weeks during the summer, Cyd jumps at the opportunity. While there, she falls for a girl in the neighborhood, even as she and her aunt gently challenge each other in the realms of sex and spirit.",en,Released,0,92%,71,6.7,"1,001",N/A,N/A,"[10749, 18]"
Pyewacket,448194,tt5119116,2017-12-08,"A frustrated, angst-ridden teenage girl awakens something in the woods when she naively performs an occult ritual to evoke a witch to kill her mother.","A frustrated, angry teenage girl awakens something in the woods when she naively performs an occult ritual to evoke a witch to kill her mother.",en,Released,0,82%,56,5.9,"1,947",23 Mar 2018,N/A,"[53, 27]"
Curvature,475961,tt4720596,2017-11-15,CURVATURE is a time travel sci-fi drama about an engineer who travels back in time to stop herself from committing a murder.,"Helen tries to cope with the recent death of her husband, a scientist who killed himself right when he was on the verge of successfully completing the invention of a time machine. One day, she receives a phone call, and a voice suspiciously resembling her own voice warns her that she’s in danger. Is it possible Helen has time travelled? And what could have led her to do something like that?",en,Released,0,22%,38,4.4,646,23 Feb 2018,N/A,"[878, 18]"
Crystal Inferno,465545,tt4048186,2017-11-04,Disaster hits when two teenagers are caught in a fire on the 20th floor of a skyscraper. Their parents are on the 60th. Will they survive the flames?,Disaster hits when two teenagers are caught in a fire on the 20th floor of a skyscraper. Their parents are on the 60th. Will they survive the flames?,en,Released,2000000,,N/A,3.8,172,N/A,N/A,"[12, 28, 10751]"
Framed By My Fiancé,490453,tt7685926,2017-11-27,"Daniel, a brilliant lawyer who is about to become one of the state's youngest judges, is driving with his fiancé Jenny when they hit another car.","Daniel, a brilliant lawyer who is about to become one of the state's youngest judges, is driving with his fiancé Jenny when they hit another car. She wakes up to learn the other driver is dead and she's being charged with manslaughter. Before help arrived on the scene, Daniel shifted Jenny to the driver's seat to hide his culpability. Desperate to get her life back, Jenny sets out to convince the vengeful dead driver's wife that she's innocent--only to realize that Daniel is determined to keep the truth secret.",en,Released,0,,N/A,5.0,139,N/A,N/A,[53]
